Title,Artist,AlbumTitle
Super Shy,NewJeans,NewJeans 'Super Shy'
퀸카 (Queencard),(여자)아이들,I feel
I AM,IVE (아이브),I've IVE
"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN
헤어지자 말해요,박재정,1집 Alone
Spicy,aespa,MY WORLD - The 3rd Mini Album
Kitsch,IVE (아이브),I've IVE
UNFORGIVEN (Feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN
Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
Ditto,NewJeans,NewJeans 'OMG'
우리들의 블루스,임영웅,IM HERO
꽃,지수 (JISOO),ME
모래 알갱이,임영웅,모래 알갱이
사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
다시 만날 수 있을까,임영웅,IM HERO
이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
무지개,임영웅,IM HERO
I Don't Think That I Like Her,Charlie Puth,CHARLIE
London Boy,임영웅,Polaroid
Polaroid,임영웅,Polaroid
Steal The Show,Lauv,엘리멘탈 (Original Motion Picture Soundtrack)
아버지,임영웅,IM HERO
After LIKE,IVE (아이브),After LIKE
예뻤어 (여름날 우리 X 김민석 (멜로망스)),김민석 (멜로망스),예뻤어 (여름날 우리 X 김민석 (멜로망스))
A bientot,임영웅,IM HERO
New Jeans,NewJeans,NewJeans 'Super Shy'
손이 참 곱던 그대,임영웅,IM HERO
심 (心),DK (디셈버),심 (心)
사랑해 진짜,임영웅,IM HERO
연애편지,임영웅,IM HERO
인생찬가,임영웅,IM HERO
Attention,NewJeans,NewJeans 1st EP 'New Jeans'
보금자리,임영웅,IM HERO
손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album 'FML'
OMG,NewJeans,NewJeans 'OMG'
Cupid,FIFTY FIFTY,The Beginning : Cupid
LOVE DIVE,IVE (아이브),LOVE DIVE
Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
건물 사이에 피어난 장미,H1-KEY (하이키),H1-KEY 1st Mini Album (Rose Blossom)
여름날 (Feat. 하현상),볼빨간사춘기,여름날
사랑인가 봐,멜로망스 (MeloMance),사랑인가 봐 (사내맞선 OST 스페셜 트랙)
Teddy Bear,STAYC (스테이씨),Teddy Bear
파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
Dynamite,방탄소년단,Dynamite (DayTime Ver.)
That's Hilarious,Charlie Puth,CHARLIE
Cream Soda,EXO,EXIST - The 7th Album
취중고백,김민석 (멜로망스),취중고백
