Title,Artist,AlbumTitle
Super Shy,NewJeans,NewJeans 'Super Shy'
퀸카 (Queencard),(여자)아이들,I feel
I AM,IVE (아이브),I've IVE
"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌),UNFORGIVEN
Spicy,aespa,MY WORLD - The 3rd Mini Album
헤어지자 말해요,박재정,1집 Alone
UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌),UNFORGIVEN
Kitsch,IVE (아이브),I've IVE
Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
Steal The Show (From “엘리멘탈”),Lauv,Steal The Show (From “엘리멘탈”)
모래 알갱이,임영웅,모래 알갱이
Ditto,NewJeans,NewJeans 'OMG'
우리들의 블루스,임영웅,IM HERO
손오공,세븐틴 (SEVENTEEN),SEVENTEEN 10th Mini Album ‘FML'
다시 만날 수 있을까,임영웅,IM HERO
꽃,지수 (JISOO),ME
무지개,임영웅,IM HERO
OMG,NewJeans,NewJeans 'OMG'
이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
London Boy,임영웅,Polaroid
Cupid,FIFTY FIFTY,The Beginning: Cupid
Polaroid,임영웅,Polaroid
아버지,임영웅,IM HERO
Attention,NewJeans,NewJeans 1st EP 'New Jeans'
New Jeans,NewJeans,NewJeans 'Super Shy'
사건의 지평선,윤하 (YOUNHA),YOUNHA 6th Album Repackage 'END THEORY : Final Edition'
인생찬가,임영웅,IM HERO
I Don't Think That I Like Her,Charlie Puth,CHARLIE
A bientot,임영웅,IM HERO
Cream Soda,EXO,EXIST - The 7th Album
After LIKE,IVE (아이브),After LIKE
Dangerously,Charlie Puth,Nine Track Mind (Deluxe Edition)
손이 참 곱던 그대,임영웅,IM HERO
사랑해 진짜,임영웅,IM HERO
파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN),부석순 1st Single Album 'SECOND WIND'
연애편지,임영웅,IM HERO
In Bloom,ZEROBASEONE (제로베이스원),YOUTH IN THE SHADE
심(心),DK(디셈버),심(心)
Dynamite,방탄소년단,Dynamite (DayTime Version)
LOVE DIVE,IVE (아이브),LOVE DIVE
Allergy,(여자)아이들,I feel
물론,허각,물론
Teddy Bear,STAYC(스테이씨),Teddy Bear
사랑하지 않아서 그랬어,임한별,사랑하지 않아서 그랬어
보금자리,임영웅,IM HERO
ANTIFRAGILE,LE SSERAFIM (르세라핌),ANTIFRAGILE
Butter,방탄소년단,Butter
건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키),H1-KEY 1st Mini Album [Rose Blossom]
Take Two,방탄소년단,Take Two
Candy,NCT DREAM,Candy - Winter Special Mini Album
사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
사랑..그게 뭔데,지아,사랑..그게 뭔데
봄날,방탄소년단,YOU NEVER WALK ALONE
사람 Pt.2 (feat. 아이유),Agust D,D-DAY
나에게 그대만이,탑현,나에게 그대만이
Like Crazy,지민,FACE
"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴,"잘 지내자, 우리 (여름날 우리 X 로이킴)"
너의 모든 순간,성시경,별에서 온 그대 OST Part.7
Still With You,정국,Still With You
Permission to Dance,방탄소년단,Butter / Permission to Dance
Heaven(2023),임재현,시작은 첫키스 OST Part.1
Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),"정국, 방탄소년단",Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]
잠깐 시간 될까,이무진,잠깐 시간 될까
빛이 나는 너에게,던 (DAWN),빛이 나는 너에게
NIGHT DANCER,imase,NIGHT DANCER
예뻤어 (여름날 우리 X 김민석 (멜로망스)),김민석 (멜로망스),예뻤어 (여름날 우리 X 김민석 (멜로망스))
That's Hilarious,Charlie Puth,CHARLIE
첫 키스에 내 심장은 120BPM,경서,ONGOING
TOMBOY,(여자)아이들,I NEVER DIE
STAY,"The Kid LAROI, Justin Bieber",Stay
Nxde,(여자)아이들,I love
취중고백,김민석 (멜로망스),취중고백
사실말야내가말야그게그러니까말이야,케이시 (Kassy),사실말야내가말야그게그러니까말이야
Thirsty,aespa,MY WORLD - The 3rd Mini Album
The Planet,방탄소년단,The Planet
해요 (2022),#안녕,해요 (2022)
Hear Me Out,EXO,EXIST - The 7th Album
사랑의 바보,제이세라,사랑의 바보
"Angel Pt. 1 (Feat. Kodak Black, NLE Choppa, JVKE, Muni Long)","Fast & Furious: The Fast Saga, 지민",FAST X [Original Motion Picture Soundtrack](분노의 질주: 라이드 오어 다이 OST)
KNOCK,이채연,Over The Moon
New Kidz on the Block,ZEROBASEONE (제로베이스원),YOUTH IN THE SHADE
찬란한 하루,멜로망스,찬란한 하루
Monologue,테이,Monologue
다정히 내 이름을 부르면,"경서예지, 전건호",다정히 내 이름을 부르면 (경서예지 x 전건호)
That’s Not How This Works (feat. Dan + Shay),Charlie Puth,That’s Not How This Works (feat. Dan + Shay)
Let Me In,EXO,EXIST - The 7th Album
HARD,SHINee (샤이니),HARD - The 8th Album
그중에 그대를 만나,김호중,삼남매가 용감하게 OST Part.1
우주먼지 (and I),ZEROBASEONE (제로베이스원),YOUTH IN THE SHADE
on the street (with J. Cole),"j-hope, J. Cole",on the street (with J. Cole)
안녕이라고 말하지마,V.O.S,안녕이라고 말하지마
ELEVEN,IVE (아이브),ELEVEN
Love Me Like This,NMIXX,expérgo
그라데이션,10CM,5.3
Our Season,ZEROBASEONE (제로베이스원),YOUTH IN THE SHADE
Back to ZEROBASE,ZEROBASEONE (제로베이스원),YOUTH IN THE SHADE
사랑하기 싫어,지아,사랑하기 싫어
부동의 첫사랑,10CM,5.4 [부동의 첫사랑]
Shut Down,BLACKPINK,BORN PINK
